FirstName,LastName,Order,PMID,Journal,CitationCount,Gender,Date.Received,Date.Published,Field
Paul,Bracken  ,1,1001.2348v1,Acta Mathematica,6,M,,14-Jan-10,Mathematics
Dmitry,Gourevitch  ,2,1001.2490v1,American Journal of Mathematics,9,M,14-Jan-10,1-Feb-13,Mathematics
Avraham,Aizenbud  ,1,1001.2490v1,American Journal of Mathematics,9,M,14-Jan-10,1-Feb-13,Mathematics
Xuepeng,Bai  ,2,1002.1046v5,Acta Mathematica,52,M,30-Jul-10,6-Nov-14,Mathematics
Yiqing,Lin  ,1,1002.1046v5,Acta Mathematica,52,M,30-Jul-10,6-Nov-14,Mathematics
Kilian,Raschel  ,1,1003.1362v3,American Journal of Mathematics,54,M,,6-Mar-10,Mathematics
John,Olushola Adeniran ,2,1003.1378v1,Acta Mathematica,9,M,,6-Mar-10,Mathematics
Temitope,Gbolahan Jaiyeola ,1,1003.1378v1,Acta Mathematica,9,M,,6-Mar-10,Mathematics
James,Nolen  ,2,1003.4160v1,American Journal of Mathematics,46,M,16-Mar-09,26-May-10,Mathematics
Pierre,Cardaliaguet  ,1,1003.4160v1,American Journal of Mathematics,46,M,16-Mar-09,26-May-10,Mathematics
Panagiotis,E. Souganidis ,3,1003.4160v1,American Journal of Mathematics,46,M,16-Mar-09,26-May-10,Mathematics
Boaz,Tsaban  ,1,1004.0211v2,American Journal of Mathematics,25,M,9-Jan-08,3-Feb-12,Mathematics
Lyubomyr,Zdomskyy  ,2,1004.0211v2,American Journal of Mathematics,25,M,9-Jan-08,3-Feb-12,Mathematics
Lamei,Yuan  ,1,1006.0075v2,Acta Mathematica,3,F,12-Oct-10,28-Mar-12,Mathematics
Eric,Dumas  ,2,1006.4701v1,American Journal of Mathematics,19,M,30-Jun-10,10-Oct-12,Mathematics
Rémi,Carles  ,1,1006.4701v1,American Journal of Mathematics,19,M,30-Jun-10,10-Oct-12,Mathematics
Christof,Sparber  ,3,1006.4701v1,American Journal of Mathematics,19,M,30-Jun-10,10-Oct-12,Mathematics
Vincent,Guedj  ,2,1007.0076v1,American Journal of Mathematics,83,M,1-Jul-10,14-Mar-11,Mathematics
Ahmed,Zeriahi  ,3,1007.0076v1,American Journal of Mathematics,83,M,1-Jul-10,14-Mar-11,Mathematics
Philippe,Eyssidieux  ,1,1007.0076v1,American Journal of Mathematics,83,M,1-Jul-10,14-Mar-11,Mathematics
Stéphane,Lamy  ,2,1007.0895v2,Acta Mathematica,94,M,7-Jul-10,1-Jan-13,Mathematics
Serge,Cantat  ,1,1007.0895v2,Acta Mathematica,94,M,7-Jul-10,1-Jan-13,Mathematics
Augusto,Teixeira  ,1,1007.0902v1,American Journal of Mathematics,47,M,1-Jul-10,20-Jul-11,Mathematics
David,Windisch  ,2,1007.0902v1,American Journal of Mathematics,47,M,1-Jul-10,20-Jul-11,Mathematics
Yingqing,Xiao  ,1,1009.1799v3,Acta Mathematica,2,F,,9-Sep-10,Mathematics
Daniel,Massart  ,2,1009.5474v1,American Journal of Mathematics,2,M,1-Sep-10,8-Mar-11,Mathematics
Ugo,Bessi  ,1,1009.5474v1,American Journal of Mathematics,2,M,1-Sep-10,8-Mar-11,Mathematics
Peter,Albers  ,1,1010.2140v1,American Journal of Mathematics,47,M,1-Nov-10,20-Oct-11,Mathematics
Gabriel,P. Paternain ,4,1010.2140v1,American Journal of Mathematics,47,M,1-Nov-10,20-Oct-11,Mathematics
Otto,van Koert ,3,1010.2140v1,American Journal of Mathematics,47,M,1-Nov-10,20-Oct-11,Mathematics
Urs,Frauenfelder  ,2,1010.2140v1,American Journal of Mathematics,47,M,1-Nov-10,20-Oct-11,Mathematics
Xueting,Tian  ,2,1010.4937v2,Acta Mathematica,15,F,,24-Oct-10,Mathematics
Wenxiang,Sun  ,1,1010.4937v2,Acta Mathematica,15,M,,25-Oct-10,Mathematics
Zengjing,Chen  ,2,1010.5917v3,Acta Mathematica,0,M,26-Jan-10,12-Apr-15,Mathematics
Panyu,Wu  ,1,1010.5917v3,Acta Mathematica,0,M,26-Jan-10,12-Apr-15,Mathematics
Xuwen,Chen  ,1,1011.5997v3,American Journal of Mathematics,66,M,13-Jan-11,10-Sep-11,Mathematics
Hal,Schenck  ,1,1012.0933v1,American Journal of Mathematics,6,M,22-Sep-09,1-Apr-12,Mathematics
Mike,Stillman  ,2,1012.0933v1,American Journal of Mathematics,6,M,22-Sep-09,1-Apr-12,Mathematics
Peter,S. Ozsváth ,2,1012.1032v2,American Journal of Mathematics,20,M,11-Apr-11,9-May-13,Mathematics
Robert,Lipshitz  ,1,1012.1032v2,American Journal of Mathematics,20,M,11-Apr-11,9-May-13,Mathematics
Dylan,P. Thurston ,3,1012.1032v2,American Journal of Mathematics,20,M,11-Apr-11,9-May-13,Mathematics
Ying,Shen  ,1,1101.0446v2,Acta Mathematica,10,F,21-Feb-11,29-Nov-13,Mathematics
Kam,Chuen Yuen ,3,1101.0446v2,Acta Mathematica,10,M,21-Feb-11,29-Nov-13,Mathematics
Chuancun,Yin  ,2,1101.0446v2,Acta Mathematica,10,Unk,21-Feb-11,29-Nov-13,Mathematics
Helmut,Hofer  ,4,1103.3881v1,American Journal of Mathematics,36,M,28-Apr-11,27-Oct-11,Mathematics
Peter,Albers  ,1,1103.3881v1,American Journal of Mathematics,36,M,28-Apr-11,27-Oct-11,Mathematics
Joel,W. Fish ,2,1103.3881v1,American Journal of Mathematics,36,M,28-Apr-11,27-Oct-11,Mathematics
Otto,van Koert ,5,1103.3881v1,American Journal of Mathematics,36,M,28-Apr-11,27-Oct-11,Mathematics
Urs,Frauenfelder  ,3,1103.3881v1,American Journal of Mathematics,36,M,28-Apr-11,27-Oct-11,Mathematics
Rémi,Carles  ,1,1104.0781v3,American Journal of Mathematics,2,M,25-Mar-11,24-Jan-12,Mathematics
Michael,Aizenman  ,1,1104.0969v3,American Journal of Mathematics,73,M,5-Apr-11,9-May-13,Mathematics
Simone,Warzel  ,2,1104.0969v3,American Journal of Mathematics,73,F,5-Apr-11,9-May-13,Mathematics
Nguyen,Huy Hung ,3,1104.1877v1,Acta Mathematica,4,M,,1-Apr-11,Mathematics
Nguyen,Thi Phuong Dung,1,1104.1877v1,Acta Mathematica,4,M,,1-Apr-11,Mathematics
Phung,Ho Hai ,2,1104.1877v1,Acta Mathematica,4,F,,1-Apr-11,Mathematics
Wanyang,Dai  ,1,1105.1363v1,Acta Mathematica,6,F,20-Jun-08,6-May-11,Mathematics
Dejun,Luo  ,1,1105.4672v2,Acta Mathematica,8,M,2-Jun-11,9-Mar-12,Mathematics
Wei,Ouyang  ,2,1106.0951v2,Acta Mathematica,1,M,,6-Jun-11,Mathematics
Zeqian,Chen  ,1,1106.0951v2,Acta Mathematica,1,M,,6-Jun-11,Mathematics
Kiyoshi,Takeuchi  ,2,1107.0402v7,American Journal of Mathematics,19,M,4-Oct-12,1-Apr-15,Mathematics
Alexander,Esterov  ,1,1107.0402v7,American Journal of Mathematics,19,M,4-Oct-12,1-Apr-15,Mathematics
Vivek,Shende  ,2,1107.2355v2,American Journal of Mathematics,43,M,5-Sep-11,16-Oct-13,Mathematics
Luca,Migliorini  ,1,1107.2355v2,American Journal of Mathematics,43,M,5-Sep-11,16-Oct-13,Mathematics
Aiping,Zhang  ,1,1107.4143v1,Acta Mathematica,2,F,2-Mar-09,9-Aug-11,Mathematics
Shunhua,Zhang  ,2,1107.4143v1,Acta Mathematica,2,F,2-Mar-09,9-Aug-11,Mathematics
Zbigniew,Olszak  ,2,1108.0018v4,Acta Mathematica,20,M,26-Jul-11,3-Apr-12,Mathematics
Karina,Olszak  ,1,1108.0018v4,Acta Mathematica,20,F,26-Jul-11,3-Apr-12,Mathematics
Joe,S. Wang ,1,1108.4463v1,Acta Mathematica,17,M,2-Sep-11,26-Oct-12,Mathematics
Thomas,Church  ,1,1108.4511v3,American Journal of Mathematics,6,M,20-Jan-12,1-Aug-14,Mathematics
David,Futer  ,1,1108.5748v2,American Journal of Mathematics,16,M,7-Sep-11,1-Apr-14,Mathematics
Saul,Schleimer  ,2,1108.5748v2,American Journal of Mathematics,16,M,7-Sep-11,1-Apr-14,Mathematics
Ru,Peng  ,1,1109.0814v2,Acta Mathematica,2,Unk,8-Aug-12,5-Aug-13,Mathematics
Caiheng,Ouyang  ,2,1109.0814v2,Acta Mathematica,2,Unk,8-Aug-12,5-Aug-13,Mathematics
Luc,Nguyen  ,3,1110.1192v1,American Journal of Mathematics,16,M,5-Oct-01,25-Aug-12,Mathematics
Yves,Capdeboscq  ,2,1110.1192v1,American Journal of Mathematics,16,M,5-Oct-01,25-Aug-12,Mathematics
Marc,Briane  ,1,1110.1192v1,American Journal of Mathematics,16,M,5-Oct-01,25-Aug-12,Mathematics
Pierre,Cornilleau  ,1,1110.5164v3,American Journal of Mathematics,16,M,11-Oct-11,1-Apr-14,Mathematics
Luc,Robbiano  ,2,1110.5164v3,American Journal of Mathematics,16,M,11-Oct-11,1-Apr-14,Mathematics
Philippe,Laurencot  ,1,1111.1156v1,American Journal of Mathematics,30,M,4-Nov-11,25-Aug-12,Mathematics
Christoph,Walker  ,2,1111.1156v1,American Journal of Mathematics,30,M,4-Nov-11,25-Aug-12,Mathematics
Sorin,Popa  ,1,1111.6951v3,Acta Mathematica,125,M,13-Jun-12,1-Jan-14,Mathematics
Stefaan,Vaes  ,2,1111.6951v3,Acta Mathematica,125,M,13-Jun-12,1-Jan-14,Mathematics
Wolfgang,Steiner  ,1,1112.1183v1,Acta Mathematica,14,M,6-Dec-11,1-Aug-12,Mathematics
Saharon,Shelah  ,2,1201.1713v2,Acta Mathematica,14,M,8-Jan-12,21-Jun-12,Mathematics
Shimon,Garti  ,1,1201.1713v2,Acta Mathematica,14,M,8-Jan-12,21-Jun-12,Mathematics
Daniele,Castorina  ,1,1201.3486v1,American Journal of Mathematics,9,M,26-Jan-12,29-Oct-15,Mathematics
Manel,Sanchon  ,2,1201.3486v1,American Journal of Mathematics,9,M,26-Jan-12,29-Oct-15,Mathematics
Yihang,Hao  ,1,1201.5942v3,Acta Mathematica,8,M,5-Jan-12,2-May-13,Mathematics
Xian-gao,Liu  ,2,1201.5942v3,Acta Mathematica,8,M,5-Jan-12,2-May-13,Mathematics
Xueke,Pu  ,2,1202.1830v2,American Journal of Mathematics,28,M,8-Feb-12,18-Oct-13,Mathematics
Yan,Guo  ,1,1202.1830v2,American Journal of Mathematics,28,M,8-Feb-12,18-Oct-13,Mathematics
Oleksiy,Klurman  ,1,1203.2208v2,Acta Mathematica,0,M,26-Feb-13,8-Feb-14,Mathematics
Fang-hua,Lin  ,2,1203.2699v3,American Journal of Mathematics,114,F,1-Sep-10,22-Feb-11,Mathematics
Zhen,Lei  ,1,1203.2699v3,American Journal of Mathematics,114,M,1-Sep-10,22-Feb-11,Mathematics
Xuwen,Chen  ,1,1204.0125v3,American Journal of Mathematics,45,M,6-Dec-12,5-Jun-13,Mathematics
Philippe,Gravejat  ,1,1204.2893v3,American Journal of Mathematics,22,M,3-May-12,16-Mar-13,Mathematics
Eric,Séré  ,4,1204.2893v3,American Journal of Mathematics,22,M,3-May-12,16-Mar-13,Mathematics
Christian,Hainzl  ,2,1204.2893v3,American Journal of Mathematics,22,M,3-May-12,16-Mar-13,Mathematics
Mathieu,Lewin  ,3,1204.2893v3,American Journal of Mathematics,22,M,3-May-12,16-Mar-13,Mathematics
Suhyoung,Choi  ,1,1204.5308v6,American Journal of Mathematics,26,F,6-Jun-13,1-Apr-17,Mathematics
William,Goldman  ,2,1204.5308v6,American Journal of Mathematics,26,M,6-Jun-13,1-Apr-17,Mathematics
Jason,Cantarella  ,1,1206.3161v2,American Journal of Mathematics,27,M,1-Jun-12,27-Aug-13,Mathematics
Clayton,Shonkwiler  ,3,1206.3161v2,American Journal of Mathematics,27,M,1-Jun-12,27-Aug-13,Mathematics
Tetsuo,Deguchi  ,2,1206.3161v2,American Journal of Mathematics,27,M,1-Jun-12,27-Aug-13,Mathematics
Luis,Alberto Lomelí ,1,1206.3186v3,American Journal of Mathematics,9,M,1-Nov-12,1-Apr-15,Mathematics
Paltin,Ionescu  ,1,1209.2047v1,American Journal of Mathematics,19,M,8-Jun-10,1-Apr-13,Mathematics
Francesco,Russo  ,2,1209.2047v1,American Journal of Mathematics,19,M,8-Jun-10,1-Apr-13,Mathematics
Konstantinos,Tyros  ,3,1209.4985v3,American Journal of Mathematics,12,M,,22-Sep-12,Mathematics
Vassilis,Kanellopoulos  ,2,1209.4985v3,American Journal of Mathematics,12,M,,22-Sep-12,Mathematics
Pandelis,Dodos  ,1,1209.4985v3,American Journal of Mathematics,12,M,,22-Sep-12,Mathematics
Dmitry,Gourevitch  ,1,1210.4064v2,American Journal of Mathematics,16,M,1-Nov-12,1-Apr-15,Mathematics
Siddhartha,Sahi  ,2,1210.4064v2,American Journal of Mathematics,16,M,1-Nov-12,1-Apr-15,Mathematics
Aijin,Lin  ,1,1210.6181v3,Acta Mathematica,0,M,22-Oct-12,1-Jan-14,Mathematics
Alexander,Y Grosberg ,2,1210.6537v1,American Journal of Mathematics,11,M,26-Oct-12,1-Apr-15,Mathematics
Robert,B. Kusner ,3,1210.6537v1,American Journal of Mathematics,11,M,26-Oct-12,1-Apr-15,Mathematics
Clayton,Shonkwiler  ,4,1210.6537v1,American Journal of Mathematics,11,M,26-Oct-12,1-Apr-15,Mathematics
Jason,Cantarella  ,1,1210.6537v1,American Journal of Mathematics,11,M,26-Oct-12,1-Apr-15,Mathematics
Bianca,Viray  ,2,1210.7841v2,American Journal of Mathematics,25,F,7-Nov-12,1-Apr-15,Mathematics
Kristin,Lauter  ,1,1210.7841v2,American Journal of Mathematics,25,F,7-Nov-12,1-Apr-15,Mathematics
A.,Buryak  ,1,1211.5273v1,American Journal of Mathematics,10,M,13-Dec-12,1-Jun-15,Mathematics
D.,Zvonkine  ,4,1211.5273v1,American Journal of Mathematics,10,M,13-Dec-12,1-Jun-15,Mathematics
S.,Shadrin  ,2,1211.5273v1,American Journal of Mathematics,10,M,13-Dec-12,1-Jun-15,Mathematics
L.,Spitz  ,3,1211.5273v1,American Journal of Mathematics,10,M,13-Dec-12,1-Jun-15,Mathematics
Xuwen,Chen  ,1,1212.0787v2,American Journal of Mathematics,36,M,11-Dec-12,24-Sep-13,Mathematics
Justin,Holmer  ,2,1212.0787v2,American Journal of Mathematics,36,M,11-Dec-12,24-Sep-13,Mathematics
Lian-Ying,Miao  ,1,1212.1029v3,Acta Mathematica,10,Unk,23-Apr-13,15-Aug-14,Mathematics
Yi-Zheng,Fan  ,2,1212.1029v3,Acta Mathematica,10,M,23-Apr-13,15-Aug-14,Mathematics
Simon,Baker  ,1,1212.1349v2,Acta Mathematica,5,M,17-Dec-12,26-Oct-13,Mathematics
Serguei,Popov  ,1,1212.1605v2,American Journal of Mathematics,67,M,21-Dec-12,29-Oct-15,Mathematics
Augusto,Teixeira  ,2,1212.1605v2,American Journal of Mathematics,67,M,21-Dec-12,29-Oct-15,Mathematics
Eva,Miranda  ,2,1301.1329v1,Acta Mathematica,6,F,30-Oct-12,20-Feb-13,Mathematics
Camille,Laurent-Gengoux  ,1,1301.1329v1,Acta Mathematica,6,F,30-Oct-12,20-Feb-13,Mathematics
Lixin,Cheng  ,2,1301.3656v3,Acta Mathematica,12,M,26-Sep-12,1-Nov-13,Mathematics
Qingjin,Cheng  ,3,1301.3656v3,Acta Mathematica,12,F,26-Sep-12,1-Nov-13,Mathematics
Duanxu,Dai  ,4,1301.3656v3,Acta Mathematica,12,M,26-Sep-12,1-Nov-13,Mathematics
Lingxin,Bao  ,1,1301.3656v3,Acta Mathematica,12,F,26-Sep-12,1-Nov-13,Mathematics
Enrique,González-Jiménez  ,1,1301.5028v2,Acta Mathematica,2,M,22-Jan-13,18-Sep-13,Mathematics
Árpád,Baricz  ,1,1301.5432v1,Acta Mathematica,11,M,18-Oct-12,18-Apr-13,Mathematics
Tibor,K. Pogány ,2,1301.5432v1,Acta Mathematica,11,M,18-Oct-12,18-Apr-13,Mathematics
Yves,Colin de Verdiere,4,1301.6783v5,American Journal of Mathematics,18,M,31-Jan-13,1-Aug-15,Mathematics
Yuri,Safarov  ,2,1301.6783v5,American Journal of Mathematics,18,M,31-Jan-13,1-Aug-15,Mathematics
Dmitry,Jakobson  ,1,1301.6783v5,American Journal of Mathematics,18,M,31-Jan-13,1-Aug-15,Mathematics
Alexander,Strohmaier  ,3,1301.6783v5,American Journal of Mathematics,18,M,31-Jan-13,1-Aug-15,Mathematics
Marc,Briant  ,1,1302.1755v4,American Journal of Mathematics,16,M,6-May-14,19-May-15,Mathematics
Jean,Bourgain  ,1,1302.5409v1,American Journal of Mathematics,62,M,20-Feb-13,1-Jan-14,Mathematics
Aynur,Bulut  ,2,1302.5409v1,American Journal of Mathematics,62,F,20-Feb-13,1-Jan-14,Mathematics
Alberto,Farina  ,1,1303.1265v1,American Journal of Mathematics,24,M,22-Mar-13,1-Apr-14,Mathematics
Nicola,Soave  ,2,1303.1265v1,American Journal of Mathematics,24,M,22-Mar-13,1-Apr-14,Mathematics
Pablo,Guarino  ,1,1303.3470v1,American Journal of Mathematics,25,M,,27-Apr-17,Mathematics
Welington,de Melo ,2,1303.3470v1,American Journal of Mathematics,25,M,,27-Apr-17,Mathematics
Justin,Holmer  ,2,1303.5385v3,American Journal of Mathematics,49,M,18-Dec-12,25-Apr-16,Mathematics
Xuwen,Chen  ,1,1303.5385v3,American Journal of Mathematics,49,M,18-Dec-12,25-Apr-16,Mathematics
Yuliang,Shen  ,1,1304.3197v6,American Journal of Mathematics,9,M,10-Apr-20,14-Aug-20,Mathematics
Alexei,Borodin  ,1,1305.3627v4,American Journal of Mathematics,79,M,1-Jun-13,10-Oct-14,Mathematics
Vadim,Gorin  ,2,1305.3627v4,American Journal of Mathematics,79,M,1-Jun-13,10-Oct-14,Mathematics
Walter,Strauss  ,2,1305.5219v1,American Journal of Mathematics,11,M,22-May-13,19-Sep-13,Mathematics
Xuwen,Chen  ,1,1305.5219v1,American Journal of Mathematics,11,M,22-May-13,19-Sep-13,Mathematics
Pere,Menal-Ferrer  ,3,1305.7064v1,American Journal of Mathematics,1,M,24-Oct-08,1-Apr-11,Mathematics
Artur,Nicolau  ,2,1305.7064v1,American Journal of Mathematics,1,M,24-Oct-08,1-Apr-11,Mathematics
Nacho,Monreal Galán ,1,1305.7064v1,American Journal of Mathematics,1,M,24-Oct-08,1-Apr-11,Mathematics
Miloš,Ziman  ,2,1305.7213v1,Acta Mathematica,7,M,,30-May-13,Mathematics
Martin,Sleziak  ,1,1305.7213v1,Acta Mathematica,7,M,,30-May-13,Mathematics
Misha,Verbitsky  ,1,1306.1498v2,Acta Mathematica,44,M,8-Jun-14,1-Apr-14,Mathematics
Christian,Sadel  ,3,1306.1605v2,American Journal of Mathematics,47,M,17-Aug-13,22-Oct-14,Mathematics
Svetlana,Jitomirskaya  ,2,1306.1605v2,American Journal of Mathematics,47,F,17-Aug-13,22-Oct-14,Mathematics
Artur,Avila  ,1,1306.1605v2,American Journal of Mathematics,47,M,17-Aug-13,22-Oct-14,Mathematics
Luis,Silvestre  ,2,1306.2429v3,American Journal of Mathematics,48,M,17-Jun-13,25-Apr-16,Mathematics
Cyril,Imbert  ,1,1306.2429v3,American Journal of Mathematics,48,M,17-Jun-13,25-Apr-16,Mathematics
Manjunath,Krishnapur  ,1,1306.4832v1,American Journal of Mathematics,55,M,1-Nov-13,30-Apr-15,Mathematics
Brian,Rider  ,2,1306.4832v1,American Journal of Mathematics,55,M,1-Nov-13,30-Apr-15,Mathematics
